Date,A,B,C,D,E,Paid Coupon A,Paid Coupon B,Paid Coupon C,Paid Coupon D,Paid Coupon E
2023-03-23,101.0577,100.78,100.7996,101.0895,101.0891,0.0,0.0,0.0,0.0,0.0
2023-03-22,101.0779,100.7896,100.8024,101.0996,101.0925,0.0,0.0,0.0,0.0,0.0
2023-03-21,101.0779,100.7896,100.8024,101.0996,101.0925,0.0,0.0,0.0,0.0,0.0
2023-03-20,101.0754,100.807,100.8081,101.118,101.0994,0.0,0.0,0.0,0.0,0.0
2023-03-17,101.0648,100.8099,100.8109,101.1204,101.1028,0.0,0.0,0.0,0.0,0.0
2023-03-16,101.0852,100.82,100.8195,101.1297,101.1131,0.0,0.0,0.0,0.0,0.0
2023-03-15,101.305,100.8299,100.8223,101.1401,101.1166,0.0,0.0,0.0,0.0,0.0
2023-03-14,101.2949,100.8096,100.8252,101.1198,101.12,0.0,0.0,0.0,0.0,0.0
2023-03-13,101.2949,100.7998,100.8281,101.0896,101.1235,0.0,0.0,0.0,0.0,0.0
2023-03-10,101.0351,100.8097,100.8309,101.09,101.1269,0.0,0.0,0.0,0.0,0.0
2023-03-09,101.0201,100.8297,100.8396,101.11,101.1373,0.0,0.0,0.0,0.0,0.0
2023-03-08,100.9928,100.8499,100.8424,101.1505,101.1408,0.0,0.0,0.0,0.0,0.0
2023-03-07,101.3755,100.8738,100.8453,101.1751,101.1442,0.0,0.0,0.0,0.0,0.0
2023-03-06,101.3755,100.8738,100.8453,101.1751,101.1442,0.0,0.0,0.0,0.0,0.0
2023-03-03,101.3854,100.8799,100.8511,101.1802,101.1512,0.0,0.0,0.0,0.0,0.0
2023-03-02,101.4052,100.9097,100.8598,101.2103,101.1617,0.0,0.0,0.0,0.0,0.0
2023-03-01,101.1752,100.9099,100.8627,101.1997,101.1652,0.0,0.0,0.0,0.0,0.0
2023-02-28,101.4752,100.87,100.8656,101.1296,101.1687,0.0,0.0,0.0,0.0,0.0
2023-02-27,101.0753,100.9202,100.8744,101.1895,101.1792,0.0,0.0,0.0,0.0,0.0
2023-02-24,101.1778,100.9399,100.8773,101.2096,101.1827,0.0,0.0,0.0,0.0,0.0
2023-02-23,101.2075,100.9396,100.8861,101.2102,101.1932,0.0,0.0,0.0,0.0,0.0
2023-02-22,101.2051,100.9802,100.889,101.2703,101.1968,0.0,0.0,0.0,0.0,0.0
2023-02-21,101.2401,100.9896,100.892,101.2699,101.2003,0.0,0.0,0.0,0.0,0.0
2023-02-20,101.2753,100.9999,100.8949,101.28,101.2038,0.0,0.0,0.0,0.0,0.0
2023-02-17,101.6251,101.0001,100.8979,101.2902,101.2074,0.0,0.0,0.0,0.0,0.0
2023-02-16,101.6351,101.0102,100.9067,101.2901,101.218,0.0,0.0,0.0,0.0,0.0
2023-02-15,101.6347,101.0003,100.9097,101.2801,101.2216,0.0,0.0,0.0,0.0,0.0
2023-02-14,101.6546,101.0303,100.9127,101.3202,101.2251,0.0,0.0,0.0,0.0,0.0
2023-02-13,101.6747,101.04,100.9156,101.3305,101.2287,0.0,0.0,0.0,0.0,4.1
2023-02-10,101.3847,101.0798,100.9186,101.3903,101.2323,0.0,0.0,0.0,0.0,0.0
2023-02-09,101.3848,101.1096,100.9276,101.4296,101.2414,0.0,0.0,0.0,0.0,0.0
2023-02-08,101.7549,101.1197,100.9306,101.4598,101.2442,0.0,0.0,0.0,0.0,0.0
2023-02-07,101.7553,101.1201,100.9336,101.45,101.247,0.0,0.0,0.0,0.0,0.0
2023-02-06,101.7791,101.1367,100.9366,101.4771,101.2498,0.0,0.0,0.0,0.0,0.0
2023-02-03,101.785,101.1404,100.9396,101.4803,101.2526,0.0,0.0,0.0,0.0,0.0
2023-02-02,101.7751,101.1303,100.9486,101.4503,101.2611,0.0,0.0,0.0,0.0,0.0
2023-02-01,101.545,101.1299,100.9516,101.4402,101.2639,0.0,0.0,0.0,0.0,0.0
2023-01-31,101.5413,101.0998,100.9546,101.4003,101.2668,0.0,0.0,0.0,0.0,0.0
2023-01-30,101.795,101.1503,100.9576,101.4797,101.2696,0.0,0.0,0.0,0.0,0.0
2023-01-27,101.8349,101.18,100.9576,101.5295,101.2696,0.0,0.0,0.0,0.0,0.0
2023-01-26,101.8448,101.1897,100.9667,101.5405,101.2781,0.0,0.0,0.0,0.0,0.0
2023-01-25,101.8448,101.1897,100.9667,101.5405,101.2781,0.0,0.0,0.0,0.0,0.0
2023-01-24,101.8551,101.1998,100.9728,101.5505,101.2838,0.0,0.0,0.0,0.0,0.0
2023-01-23,101.8888,101.2263,100.9759,101.5865,101.2867,0.0,0.0,0.0,0.0,0.0
2023-01-20,101.8948,101.2301,100.9789,101.5899,101.2895,0.0,0.0,0.0,0.0,0.0
2023-01-19,101.875,101.2103,100.9881,101.5502,101.2981,0.0,0.0,0.0,0.0,0.0
2023-01-18,101.8851,101.2201,100.9911,101.5604,101.301,0.0,0.0,0.0,0.0,0.0
2023-01-17,101.8952,101.2299,100.9942,101.5705,101.3039,0.0,0.0,0.0,0.0,0.0
2023-01-16,101.9254,101.2501,100.9973,101.6104,101.3068,0.0,0.0,0.0,0.0,0.0
2023-01-13,101.9047,101.2299,101.0003,101.5704,101.3097,0.0,0.0,0.0,0.0,0.0
2023-01-12,101.915,101.2301,101.0096,101.57,101.3184,0.0,0.0,0.0,0.0,0.0
2023-01-11,101.9252,101.24,101.0127,101.5699,101.3213,0.0,0.0,0.0,0.0,0.0
2023-01-10,101.7346,101.2403,101.0158,101.5697,101.3242,0.0,0.0,0.0,0.0,0.0
2023-01-09,101.7154,101.2266,101.0189,101.5371,101.3271,0.0,0.0,0.0,0.0,0.0
2023-01-06,101.6654,101.2304,101.022,101.5404,101.33,0.0,0.0,0.0,0.0,0.0
2023-01-05,101.925,101.2302,101.0313,101.5396,101.3388,0.0,0.0,0.0,0.0,0.0
2023-01-04,101.6851,101.2304,101.0344,101.5499,101.3417,0.0,0.0,0.0,0.0,0.0
2023-01-03,101.7654,101.2404,101.0375,101.5496,101.3446,0.0,0.0,0.0,0.0,0.0
2023-01-02,101.6651,101.2459,101.0406,101.567,101.3476,0.0,0.0,0.0,0.0,0.0
2022-12-30,101.7649,101.2497,101.0438,101.5703,101.3505,0.0,0.0,0.0,0.0,0.0
2022-12-29,101.7651,101.25,101.05,101.5603,101.3564,0.0,0.0,0.0,0.0,0.0
