Date,A,B,C,D,E,Paid Coupon A,Paid Coupon B,Paid Coupon C,Paid Coupon D,Paid Coupon E
2014-08-05,100.4623,95.8662,93.7458,96.7675,95.5707,0.0,0.0,0.0,0.0,0.0
2014-08-06,100.1327,95.4878,93.629,96.3002,95.1186,0.0,0.0,0.0,0.0,0.0
2014-08-07,100.0034,95.3672,93.467,96.2101,95.017,0.0,0.0,0.0,0.0,0.0
2014-08-08,99.8275,95.2016,93.8215,96.055,94.8603,0.0,0.0,0.0,0.0,0.0
2014-08-11,100.1975,95.5591,93.614,96.4276,95.2249,0.0,0.0,0.0,0.0,0.0
2014-08-12,99.9694,95.3452,93.7874,96.264,95.0411,0.0,0.0,0.0,0.0,0.040999999999999995
2014-08-13,100.1554,95.5223,93.9801,96.4147,95.2013,0.0,0.0,0.0,0.0,0.0
2014-08-14,100.344,95.7121,94.2951,96.6569,95.4182,0.0,0.0,0.0,0.0,0.0
2014-08-15,100.6756,96.0308,94.2951,96.9782,95.7364,0.0,0.0,0.0,0.0,0.0
2014-08-18,100.6756,96.0308,93.705,96.9782,95.7364,0.0,0.0,0.0,0.0,0.0
2014-08-19,100.0924,95.4836,94.7902,96.1358,95.0292,0.0,0.0,0.0,0.0,0.0
2014-08-20,101.3071,96.5861,94.7943,97.3088,96.2159,0.0,0.0,0.0,0.0,0.0
2014-08-21,101.3092,96.5895,94.7413,97.3183,96.2224,0.0,0.0,0.0,0.0,0.0
2014-08-22,101.2499,96.5349,94.6374,97.2628,96.1663,0.0,0.0,0.0,0.0,0.0
2014-08-25,101.1397,96.4297,94.4882,97.0922,95.9982,0.0,0.0,0.0,0.0,0.0
2014-08-26,100.9825,96.2788,94.5713,96.9335,95.8432,0.0,0.0,0.0,0.0,0.0
2014-08-27,101.0695,96.3629,94.4128,97.0145,95.9246,0.0,0.0,0.0,0.0,0.0
2014-08-28,100.9013,96.2026,94.4071,96.8389,95.755,0.0,0.0,0.0,0.0,0.0
2014-08-29,100.8909,96.1949,94.462,96.8577,95.7627,0.0,0.0,0.0,0.0,0.0
2014-09-01,100.948,96.2504,94.5673,96.9111,95.8162,0.0,0.0,0.0,0.0,0.0
2014-09-02,100.9913,96.2946,94.7757,96.9758,95.9329,0.0,0.0,0.0,0.0,0.0
2014-09-03,101.2087,96.5047,94.6005,97.1921,96.1452,0.0,0.0,0.0,0.0,0.0
2014-09-04,101.0225,96.327,94.6628,97.0172,95.9695,0.0,0.0,0.0,0.0,0.0
2014-09-05,101.084,96.3889,94.7447,97.1456,96.0323,0.0,0.0,0.0,0.0,0.0
2014-09-08,101.1699,96.4717,94.7032,97.2235,96.1114,0.0,0.0,0.0,0.0,0.0
2014-09-09,101.1224,96.4889,94.6128,97.1962,96.0771,0.0,0.0,0.0,0.0,0.0
2014-09-10,101.0273,96.3976,94.629,97.0968,95.9812,0.0,0.0,0.0,0.0,0.0
2014-09-11,101.0431,96.4137,94.6836,97.1135,95.9971,0.0,0.0,0.0,0.0,0.0
2014-09-12,101.0942,96.4668,94.7653,97.184,96.0588,0.0,0.0,0.0,0.0,0.0
2014-09-15,101.1737,96.547,94.6392,97.2972,96.1572,0.0,0.0,0.0,0.0,0.0
2014-09-16,101.0438,96.4207,94.6909,97.1465,96.0171,0.0,0.0,0.0,0.0,0.0
2014-09-17,101.0955,96.4721,94.8744,97.2072,96.0732,0.0,0.0,0.0,0.0,0.0
2014-09-18,101.2855,97.3879,94.8856,97.405,96.264,0.0,0.0,0.0,0.0,0.0
2014-09-19,101.2923,97.3973,94.9497,97.4233,96.2774,0.0,0.0,0.0,0.0,0.0
2014-09-22,101.3555,96.7297,94.8907,97.5058,96.3511,0.0,0.0,0.0,0.0,0.0
